Name,About,Portfolio,Founders,Past Investors,Employees,Advisors,Profile Claimed,Portfolio Links,Founder Links,Investor Links,Employee Links,Advisor Links
"Data Collective","Data Collective invests in entrepreneurs building Big Data companies.

Big Data companies capture, store, secure, transmit, transform, and analyze data for economic advantage, either with huge volumes (terabytes to exabytes), or at tremendous speed (microseconds to seconds), or both.

Big Data companies can come to market solving hard infrastructure problems, taking leadership in vertical B2B markets, or as truly data-driven consumer products. The common thread is that the founding team has the experience and discipline to solve data problems at novel scale, speed, or level of insight, and ideally all three.

Our strong network, operational experience and technical background delivers unique value to entrepreneurs. We still read code. We understand chip architecture and how to build racks. We&#x27;ve run Hadoop jobs ourselves and built VM farms. And we will be there at 3 am to cheer the new build or at 7 am to help land that new customer.","Freshplum,Kaggle,ZenPayroll,Swiftype,Space Monkey,Rescale,Priceonomics,LendUp,SlidePay,MemSQL,Parse,MixRank,Firebase,MongoHQ,Prism Skylabs,Weotta,Fliptop,Transcriptic,GetGoing,Apcera,Signifyd,Simpler,Keen IO,MindSumo,TempoDB,","Zachary Bogue,Matt Ocko","Jonathan Abrams,Adrian Aoun,David Popowitz,Pat Matthews,Florian Leibert,Alex Stamos,Peter Skomoroch","Alex Stamos","Zachary Bogue,Matt Ocko",Yes,"https://angel.co/freshplum,https://angel.co/kaggle,https://angel.co/zenpayroll,https://angel.co/swiftype,https://angel.co/space-monkey,https://angel.co/rescale,https://angel.co/priceonomics,https://angel.co/lendup,https://angel.co/slidepay,https://angel.co/memsql,https://angel.co/parse,https://angel.co/mixrank,https://angel.co/firebase,https://angel.co/mongohq,https://angel.co/prism-skylabs,https://angel.co/weotta,https://angel.co/fliptop,https://angel.co/transcriptic,https://angel.co/getgoing,https://angel.co/apcera,https://angel.co/signifyd,https://angel.co/simpler,https://angel.co/keen-io,https://angel.co/mindsumo,https://angel.co/tempodb,","https://angel.co/zackbogue,https://angel.co/mattocko","https://angel.co/abrams,https://angel.co/adrian-aoun,https://angel.co/popowitz,https://angel.co/patmatthews,https://angel.co/florian-leibert,https://angel.co/alexstamos,https://angel.co/peteskomoroch","https://angel.co/alexstamos","https://angel.co/zackbogue,https://angel.co/mattocko"
"Data Point Capital","","clypd,Kitsy Lane,Vee24","","","Evan Kornack","",Yes,"https://angel.co/clypd,https://angel.co/kitsy-lane,https://angel.co/vee24","","","https://angel.co/ekornack",""
"DCM","DCM is a Venture Capital firm that partners with exceptional entrepreneurs to bring disruptive products and services to global markets. With over $2bn under management and strong investment experience in the U.S., Japan, China, and other markets, DCM brings unique strategic and operational value to start-ups. DCM also launched the world&#x27;s first Android focused VC fund, the A-Fund, seeking investments into disruptive smartphone related technologies, apps, and services.","Crowdtilt,SoFi,Slice,SandForce,BitTorrent,AdKeeper,Ustream,Savingstar,Playground.fm,Rockyou,FreedomPop,Revel Systems,Appia,Project Slice,Cortina Systems,Bill.com,Mig33,PeerPong,Fortinet,JasperSoft,Caring.com,BASIS,Sling Media,Smith &amp; Tinker,BridgeLux,","","Takuo Suzuki","Arthur Kaneko,Ben Jacobs,Benjamin Tseng,Connie Cong Xu","",Yes,"https://angel.co/crowdtilt,https://angel.co/sofi-1,https://angel.co/slice-1,https://angel.co/sandforce,https://angel.co/bittorrent,https://angel.co/adkeeper,https://angel.co/ustream,https://angel.co/savingstar,https://angel.co/playground-fm,https://angel.co/rockyou,https://angel.co/freedompop,https://angel.co/revel-systems,https://angel.co/appia,https://angel.co/project-slice,https://angel.co/cortina-systems,https://angel.co/bill-com,https://angel.co/mig33,https://angel.co/peerpong,https://angel.co/fortinet,https://angel.co/jaspersoft,https://angel.co/caring-com,https://angel.co/basis,https://angel.co/sling-media,https://angel.co/smith-tinker,https://angel.co/bridgelux,","","https://angel.co/taquo","https://angel.co/arthur-kaneko,https://angel.co/ben-jacobs,https://angel.co/benjamintseng,https://angel.co/connie-cong-xu",""
"Designer Fund","","","Enrique Allen,Ben Blumenfeld","Bobby Goodlatte","Ben Blumenfeld,Samrat Jeyaprakash","Enrique Allen,Ben Blumenfeld",Yes,"","https://angel.co/enrique-allen,https://angel.co/blumenfeld","https://angel.co/g","https://angel.co/blumenfeld,https://angel.co/samratjp","https://angel.co/enrique-allen,https://angel.co/blumenfeld"
"Deutsche Telekom","","LevelUp,T-Venture,Affirmed Networks","","","Alexander Shapiro,Tobias Kemper,Arne Stoldt,Bastian Gerhard,Ramesh Menon","",No,"https://angel.co/levelup,https://angel.co/t-venture,https://angel.co/affirmed-networks","","","https://angel.co/alexander-shapiro,https://angel.co/tek,https://angel.co/arne-stoldt-1,https://angel.co/monsieurgerard,https://angel.co/ramesh-menon",""
"DFJ Esprit","","Bitbar,Lyst,LoveFilm,Icera,PeerIndex,Radiumone,StrikeAd,DisplayLink,Conversocial,Seedrs,Achica,Moviepilot,Buy.at,XMOS,Redkite Financial Markets,GetBulb,SportPursuit,Zeus Technology,Light Blue Optics,Qosmos,Neul,Arieso,Nimbus,netronome,CRF Health,","Nic Brisbourne","","Scott Sage,Gil Dibner,Kelvin Au,Krishna Visvanathan,Jonathan (DFJ Esprit),Alexander Frolov,Simon Cook","Nic Brisbourne",Yes,"https://angel.co/bitbar,https://angel.co/lyst,https://angel.co/lovefilm,https://angel.co/icera,https://angel.co/peerindex,https://angel.co/radiumone,https://angel.co/strikead,https://angel.co/displaylink,https://angel.co/conversocial,https://angel.co/seedrs,https://angel.co/achica,https://angel.co/moviepilot,https://angel.co/buy-at,https://angel.co/xmos,https://angel.co/redkite-financial-markets,https://angel.co/getbulb,https://angel.co/sportpursuit,https://angel.co/zeus-technology,https://angel.co/light-blue-optics,https://angel.co/qosmos,https://angel.co/neul,https://angel.co/arieso,https://angel.co/nimbus,https://angel.co/netronome,https://angel.co/crf-health,","https://angel.co/nic-brisbourne","","https://angel.co/scott-sage,https://angel.co/gdibner,https://angel.co/kelvin-au,https://angel.co/krishna-visvanathan,https://angel.co/jfschelsea,https://angel.co/alexander-frolov,https://angel.co/simon-cook","https://angel.co/nic-brisbourne"
"DFJ Gotham Ventures","","ADstruc,Clipboard,StellaService,Seamless Receipts,Sailthru,JIBE,Solvate,Medialets,Altruik,Drop.io,SinglePlatform,Fynanz,Vivotech,Massive,ContextWeb,Panvidea","","Lee Ann Daly,john waller,Andy Moss","Mark Peter Davis,Lucas Nelson,Taylor Greene,Nicolas Vandenberghe,Brian Stuckey,Aaron Price,Zak Schwarzman","",No,"https://angel.co/adstruc,https://angel.co/clipboard,https://angel.co/stellaservice,https://angel.co/seamless-receipts,https://angel.co/sailthru,https://angel.co/jibe,https://angel.co/solvate,https://angel.co/medialets,https://angel.co/altruik,https://angel.co/drop-io,https://angel.co/singleplatform,https://angel.co/fynanz,https://angel.co/vivotech,https://angel.co/massive,https://angel.co/contextweb,https://angel.co/panvidea","","https://angel.co/leeanndaly,https://angel.co/john-waller,https://angel.co/andy-moss","https://angel.co/mpd,https://angel.co/lucasnelson,https://angel.co/taylor-greene,https://angel.co/nicolas-vandenberghe,https://angel.co/stuckey,https://angel.co/apstartup,https://angel.co/zak-schwarzman",""
"DN Capital","","Apsalar,Sonico,Geckoboard,OLX,Brainbow,Digital Chocolate,HybridCluster,Iga Worldwide,Endeca,Mister Spex,Windeln.de,Race Yourself,Digital Railroad,Familybuilder,MPme Radio,Datanomic","","","Steve Schlenker,Nenad Marovac,Linda Tong,Dhwani Vahia,Imran Akram,Marie Hardel,Lawrence Barclay","",Yes,"https://angel.co/apsalar,https://angel.co/sonico,https://angel.co/geckoboard,https://angel.co/olx,https://angel.co/brainbow,https://angel.co/digital-chocolate,https://angel.co/hybridcluster,https://angel.co/iga-worldwide,https://angel.co/endeca,https://angel.co/mister-spex,https://angel.co/windeln-de,https://angel.co/race-yourself,https://angel.co/digital-railroad,https://angel.co/familybuilder,https://angel.co/mpme-radio,https://angel.co/datanomic","","","https://angel.co/steveschlenker,https://angel.co/nenad-marovac,https://angel.co/linda-tong,https://angel.co/dhwani-vahia,https://angel.co/imran-akram,https://angel.co/mariehardel,https://angel.co/lawrence-barclay",""
"DFJ","","Skype,Path,Tumblr,Airtime,Tesla Motors,SpaceX,Yammer,Betaworks,Chef,Meetup,AngelList,Chartbeat,Twilio,TrialPay,InsightSquared,Karma,Glam Media,Verbling,Selligy,Admob,FeedBurner,Telly,Zapier,Richrelevance,Gilt Groupe,","Tim Draper","","Josh Stein,Bill Bryant,Rachel Pike,Sam Fort,Jennifer Fonstad,Heidi Roizen,Warren Packard,Katie Hughes,Shari Foldes,Blair Silverberg,Sunil Pai,Ed Roman Test","Tim Draper",Yes,"https://angel.co/skype,https://angel.co/path,https://angel.co/tumblr,https://angel.co/airtime,https://angel.co/tesla-motors,https://angel.co/spacex,https://angel.co/yammer,https://angel.co/betaworks,https://angel.co/chef-2,https://angel.co/meetup,https://angel.co/angellist,https://angel.co/chartbeat,https://angel.co/twilio,https://angel.co/trialpay,https://angel.co/insightsquared,https://angel.co/karma,https://angel.co/glam-media,https://angel.co/verbling,https://angel.co/selligy,https://angel.co/admob,https://angel.co/feedburner,https://angel.co/telly,https://angel.co/zapier,https://angel.co/richrelevance,https://angel.co/gilt-groupe,","https://angel.co/timdraper","","https://angel.co/dfjjosh,https://angel.co/seattlebill,https://angel.co/rcp,https://angel.co/sam-fort,https://angel.co/jennifer-fonstad,https://angel.co/heidiroizen,https://angel.co/warren-packard,https://angel.co/katie-hughes,https://angel.co/shari-foldes,https://angel.co/blair-silverberg,https://angel.co/sunil-pai,https://angel.co/ed-roman-test","https://angel.co/timdraper"
"e.Bricks Digital","","Samba Ads,GuiaBolso,Rock Content,emprego ligado,ZoeMob,Predicta,Vitrinepix","","","Ricardo Taveira,Madu Melo","",Yes,"https://angel.co/samba-ads,https://angel.co/guiabolso,https://angel.co/rock-content,https://angel.co/emprego-ligado,https://angel.co/zoemob,https://angel.co/predicta,https://angel.co/vitrinepix","","","https://angel.co/ricardotaveira,https://angel.co/madu-melo-5",""
"e.ventures","","Mightybell,Betaworks,Recurly,StyleSaint,Munchery,Groupon,Vulcun,PlayHaven,Trippy,Amplify LA,YuMe,Soldsie,Shutl,The RealReal,Delicious (Part of Avos),BlueKai,Daily Secret,Eucalyptus Systems,SpotHero,Makers Studio,MoVoxx,Fotolog,Shopping.com,Sonos,Vuze,","Mathias Schilling,Christian Leybold","","Charles Yim,Mathias Schilling,Brendan Wales,Jonathan Becker,Nicholas Reise,Dan Gailey,Benedikt Herles","Mathias Schilling,Christian Leybold",Yes,"https://angel.co/mightybell,https://angel.co/betaworks,https://angel.co/recurly,https://angel.co/stylesaint,https://angel.co/munchery,https://angel.co/groupon,https://angel.co/vulcun-1,https://angel.co/playhaven,https://angel.co/trippy,https://angel.co/amplifyla,https://angel.co/yume,https://angel.co/soldsie,https://angel.co/shutl,https://angel.co/the-realreal,https://angel.co/delicious-part-of-avos,https://angel.co/bluekai,https://angel.co/daily-secret,https://angel.co/eucalyptus-systems,https://angel.co/spothero,https://angel.co/makers-studio,https://angel.co/movoxx,https://angel.co/fotolog,https://angel.co/shopping-com,https://angel.co/sonos,https://angel.co/vuze,","https://angel.co/mathias-schilling,https://angel.co/leybold","","https://angel.co/chuckyim,https://angel.co/mathias-schilling,https://angel.co/brendan-wales,https://angel.co/jonathan-becker,https://angel.co/nicholasreise,https://angel.co/dan-gailey,https://angel.co/benedikt-herles","https://angel.co/mathias-schilling,https://angel.co/leybold"
"Earlybird Venture Capital","","EyeEm ,6Wunderkinder,Madvertise,Simfy,Ding Dong,Videdressing,Auctionata.com,Peak Games,Light Blue Optics,Smava,EBS Technologies,Miracor,Conject,Azeti Networks,The Football App,Carpooling.com,Zonare Medical Systems,Nfon,B2X Care,Ubitricity,Hemoteq,Traxpay,RapidMiner","Rolf Mathies,Christian Nagel,Roland Manger,Dr. Hendrik Brandis","Lothar Stein","Ciar\u00e1n O&#x27;Leary,Cem Sertoglu,Rolf Mathies,Maximilian Claussen,Evren Ucok,Christian Nagel,Roland Manger,Dr. Hendrik Brandis,Dan Lupu,Andrea Baldini,Thom Rasche,Simon Sebastian Schmincke,Thorsten Schaefer,Jason Whitmire,Mehmed Sel\u00e7uk At\u0131c\u0131,David Rosskamp,Ravi Kurani","Rolf Mathies,Christian Nagel,Roland Manger,Dr. Hendrik Brandis",Yes,"https://angel.co/eyeem,https://angel.co/6wunderkinder,https://angel.co/madvertise,https://angel.co/simfy,https://angel.co/ding-dong,https://angel.co/videdressing,https://angel.co/auctionata-com,https://angel.co/peak-games,https://angel.co/light-blue-optics,https://angel.co/smava,https://angel.co/ebs-technologies,https://angel.co/miracor,https://angel.co/conject,https://angel.co/azeti-networks,https://angel.co/the-football-app,https://angel.co/carpooling-com,https://angel.co/zonare-medical-systems,https://angel.co/nfon,https://angel.co/b2x-care,https://angel.co/ubitricity,https://angel.co/hemoteq,https://angel.co/traxpay,https://angel.co/rapidminer","https://angel.co/rolfmathies,https://angel.co/christian-nagel,https://angel.co/roland-manger,https://angel.co/dr-hendrik-brandis","https://angel.co/lothar-stein","https://angel.co/ciaranoleary,https://angel.co/csertoglu,https://angel.co/rolfmathies,https://angel.co/maximilian-claussen,https://angel.co/evren-ucok,https://angel.co/christian-nagel,https://angel.co/roland-manger,https://angel.co/dr-hendrik-brandis,https://angel.co/dan-lupu,https://angel.co/andrea-baldini,https://angel.co/thom-rasche,https://angel.co/simon-schmincke,https://angel.co/thorsten-schaefer,https://angel.co/jason_whitmire,https://angel.co/mehmed-atici,https://angel.co/drosskamp,https://angel.co/kuraniravi","https://angel.co/rolfmathies,https://angel.co/christian-nagel,https://angel.co/roland-manger,https://angel.co/dr-hendrik-brandis"
"EC1 Capital Ltd","We invest in early stage to growth web and mobile startups addressing a large market with a burning pain point primarily in London, Edinburgh and Dublin.","citysocializer,HybridCluster,Unifyo,lifecake,SimpleTax,Toothpick,Retronaut,Seene,Glean.in,HANDS HQ,Housebites.com,Highgate Labs,User Replay,evvnt,Culture Label,hybrid cluster,housebi,hybridc","Julian Carter","","","Julian Carter",Yes,"https://angel.co/citysocializer,https://angel.co/hybridcluster,https://angel.co/unifyo,https://angel.co/lifecake,https://angel.co/simpletax,https://angel.co/toothpick,https://angel.co/retronaut,https://angel.co/seene-1,https://angel.co/glean-in,https://angel.co/hands-hq,https://angel.co/housebites-com,https://angel.co/highgate-labs,https://angel.co/user-replay,https://angel.co/evvnt-1,https://angel.co/culture-label,https://angel.co/hybrid-cluster,https://angel.co/housebi,https://angel.co/hybridc","https://angel.co/julian-carter","","","https://angel.co/julian-carter"
"Eden Ventures","","Huddle,Zemanta,LOOKK,uberVU,BaseKit Platform,We7,Brightpearl,Borro,Truphone,Acunu,Tribold,Reevoo,The Filter,Pixsta,Biometric Security","","Katy Turner","Katy Turner,Ben Tompkins,Charles Grimsdale,Katy Turner","",No,"https://angel.co/huddle,https://angel.co/zemanta,https://angel.co/lookk,https://angel.co/ubervu,https://angel.co/basekit-platform,https://angel.co/we7,https://angel.co/brightpearl,https://angel.co/borro,https://angel.co/truphone,https://angel.co/acunu,https://angel.co/tribold,https://angel.co/reevoo,https://angel.co/the-filter,https://angel.co/pixsta,https://angel.co/biometric-security","","https://angel.co/katy-turner-1","https://angel.co/katy-turner,https://angel.co/ben-tompkins,https://angel.co/charles-grimsdale,https://angel.co/katy-turner-1",""
"El Dorado Ventures","","Freshplum,Badgeville,Coupa,Nanosys,Jigsaw,EarthLink,TST Media,Atlantis Computing,Access Health,Cyras Systems; Inc.,Rogue Wave Software,enStratus","Tom Peterson","Anna Zornosa","Tom Peterson,Scott Irwin,Charles Beeler,Maneesh Goyal,Jeff Hinck,Ruby Moyoli","Tom Peterson",Yes,"https://angel.co/freshplum,https://angel.co/badgeville,https://angel.co/coupa,https://angel.co/nanosys,https://angel.co/jigsaw,https://angel.co/earthlink,https://angel.co/tst-media,https://angel.co/atlantis-computing,https://angel.co/access-health,https://angel.co/cyras-systems-inc,https://angel.co/rogue-wave-software,https://angel.co/enstratus","https://angel.co/tom-peterson","https://angel.co/anna-zornosa","https://angel.co/tom-peterson,https://angel.co/scottirwin,https://angel.co/charles-beeler,https://angel.co/mgoyal,https://angel.co/jeff-hinck,https://angel.co/ruby-moyoli","https://angel.co/tom-peterson"
"Elevate Ventures","","bookacoach,Curvo Labs","","","Ting Gootee","",Yes,"https://angel.co/bookacoach,https://angel.co/curvo-labs","","","https://angel.co/ting-gootee-cfa",""
"Emergence Capital Partners","","VigLink,Yammer,Cotap,Hightail ,Janrain,Doximity,ServiceMax,Top Hat,Lotame,Lithium Technologies,Intacct,Genius.com,Bill.com,Zuberance,Restorando,Visage Mobile,KidZui,ResponseLogix,Insideview,EchoSign,Krugle,PivotLink,Mobile Intelligence Solutions,Adapt Technologies,SupportSpace","","","Sean Jacobsohn,Jason Green,Brian Jacobs,Kevin Spain,Santi Subotovsky,Alison Wagonfeld,Joe Floyd","",No,"https://angel.co/viglink,https://angel.co/yammer,https://angel.co/cotap,https://angel.co/hightail-2,https://angel.co/janrain,https://angel.co/doximity,https://angel.co/servicemax,https://angel.co/top-hat,https://angel.co/lotame,https://angel.co/lithium-technologies,https://angel.co/intacct,https://angel.co/genius-com,https://angel.co/bill-com,https://angel.co/zuberance,https://angel.co/restorando,https://angel.co/visage-mobile,https://angel.co/kidzui,https://angel.co/responselogix,https://angel.co/insideview,https://angel.co/echosign,https://angel.co/krugle,https://angel.co/pivotlink,https://angel.co/mobile-intelligence-solutions,https://angel.co/adapt-technologies,https://angel.co/supportspace","","","https://angel.co/sjacobsohn,https://angel.co/jason-green-1,https://angel.co/brian-jacobs,https://angel.co/kevin-spain,https://angel.co/ssubo,https://angel.co/alison-wagonfeld,https://angel.co/joseph-floyd",""
"Eniac Ventures","We invest $200k to $300k in seed-stage, mobile first startups. We prefer companies have some market data, even if very limited. From our experience, a technical co-founder is ideal, along with a designer for consumer centric companies, and a business lead especially for enterprise focused companies. Eniac is 100% focused on mobile. Specific targeted sectors within mobile include, but are not limited, to the following: • Big Data • Cloud computing • Commerce • Social • Gaming • AdTech • Enterprise. Our offices are in New York City and San Francisco, but we are geographically agnostic.","Vungle,MindSnacks,Simperium,ShowMe,Onswipe,Airbnb,Shake,mParticle,Thumb,Localresponse,Ginger.io,Breezy,Localytics,TrulyWireless,SoundCloud,Dekko,IMRSV,MightyMeeting,Sonic Notify,Vistar Media,Kanvas,Change Collective,Hinge,Fitocracy,Trumaker,","Hadley Harris,Tim Young,Vic Singh,Nihal Mehta","Paul Sethi,Zachary Aarons,John Evans,Raj Singh,David Levy,Vamsi Sistla,Steven Goldman,Alec Andronikov,Jeff Arbour,Geoffrey Handley,Derek Handley","Tim Young,Zachary Aarons,Nihal Mehta,Matt Miesnieks,Vasu Prathipati,Loughlin Rodd (Sam)","Hadley Harris,Tim Young,Vic Singh,Nihal Mehta",Yes,"https://angel.co/vungle,https://angel.co/mindsnacks,https://angel.co/simperium,https://angel.co/showme,https://angel.co/onswipe,https://angel.co/airbnb,https://angel.co/shake-1,https://angel.co/mparticle,https://angel.co/thumb,https://angel.co/localresponse,https://angel.co/ginger-io,https://angel.co/breezy,https://angel.co/localytics,https://angel.co/trulywireless,https://angel.co/soundcloud,https://angel.co/dekko,https://angel.co/imrsv,https://angel.co/mightymeeting,https://angel.co/sonic-notify,https://angel.co/vistar-media,https://angel.co/kanvas,https://angel.co/change-collective,https://angel.co/hinge,https://angel.co/fitocracy,https://angel.co/trumaker,","https://angel.co/hadley,https://angel.co/timy0ung,https://angel.co/vic_singh,https://angel.co/nihalmehta","https://angel.co/paulsethi,https://angel.co/zachaarons,https://angel.co/john-evans-1,https://angel.co/mobileraj,https://angel.co/dslevy,https://angel.co/vsistla,https://angel.co/steven-goldman,https://angel.co/alecand,https://angel.co/jeff-arbour,https://angel.co/geoffrey-handley,https://angel.co/therealhandley","https://angel.co/timy0ung,https://angel.co/zachaarons,https://angel.co/nihalmehta,https://angel.co/matt-miesnieks,https://angel.co/vasu-prathipati,https://angel.co/loughlinrodd","https://angel.co/hadley,https://angel.co/timy0ung,https://angel.co/vic_singh,https://angel.co/nihalmehta"
"Enterprise Ireland","Enterprise Ireland invests in selected Innovative companies based in Ireland. We support both locally originating companies and those promoted by entrepreneurs of whatever nationality who move to Ireland to avail of the country&#x27;s great start up ecosystem and tech environment. We have invested in over 800 start ups. Further information at www.startinireland.com.","Ticket ABC,Skynet Labs,GetHealth,Scurri,Digit Game Studios,Fantom,Temptster,PutPlace,Clavis Technology,Cicero Networks,Popdeem,Rising Sum Analytics,Gridstore,Kitman Labs,WhatClinic.com,Digital Mines,Cubic Telecom,Redmere Technology,DecaWave","","","Liz Fleming,Simone Boswell,Ted Clohosey,David Scanlon,Aislinn Mahon,Theresa Clarke,Lorcan O&#x27;Sullivan","",Yes,"https://angel.co/ticket-abc,https://angel.co/skynet-labs,https://angel.co/gethealth-1,https://angel.co/scurri,https://angel.co/digit-game-studios,https://angel.co/fantom-2,https://angel.co/temptster,https://angel.co/putplace,https://angel.co/clavis-technology,https://angel.co/cicero-networks,https://angel.co/popdeem,https://angel.co/rising-sum-analytics,https://angel.co/gridstore,https://angel.co/kitman-labs,https://angel.co/whatclinic-com,https://angel.co/digital-mines,https://angel.co/cubic-telecom,https://angel.co/redmere-technology,https://angel.co/decawave","","","https://angel.co/ldfleming,https://angel.co/simone-boswell,https://angel.co/ted-clohosey,https://angel.co/dscanlon,https://angel.co/aislinn-mahon,https://angel.co/theresa-clarke,https://angel.co/lorcan-o-sullivan",""
"EPIC Ventures","EPIC Ventures is a premier early stage software and Internet infrastructure venture firm whose mission is to back entrepreneurs and companies positioned to lead the information economy of tomorrow.  We bring the collective operational and financial experience of our partnership, our world class advisors, and our extensive network of technology industry contacts to engage and ensure our portfolio&#x27;s success.

Strategically located in Salt Lake City, we&#x27;re never more than a short flight from any of the geographies we invest in.","Joyent,Clinkle,Janrain,BrightTag,MokiMobility,Instructure,Medsphere Systems,Advent Solar,DivX,Lefthand Networks,Ancestry.com,Alliance Health Networks,Hytrust,DOTGO,Xydo,Iovation,Lumidigm,EverSpin Technologies,LignUp,TriCipher,Exagen Diagnostics,Zettaset,eSionic,DriveSafety,Bungee Labs,","Nick Efstratis","David Carter","Christopher Stone,Katie Szczepaniak Rice,Nick Efstratis,Ryan Hemingway,Christopher Calder,Ross R","Nick Efstratis",Yes,"https://angel.co/joyent,https://angel.co/clinkle,https://angel.co/janrain,https://angel.co/brighttag,https://angel.co/mokimobility,https://angel.co/instructure,https://angel.co/medsphere-systems,https://angel.co/advent-solar,https://angel.co/divx,https://angel.co/lefthand-networks,https://angel.co/ancestry-com,https://angel.co/alliance-health-networks,https://angel.co/hytrust,https://angel.co/dotgo,https://angel.co/xydo,https://angel.co/iovation,https://angel.co/lumidigm,https://angel.co/everspin-technologies,https://angel.co/lignup,https://angel.co/tricipher,https://angel.co/exagen-diagnostics,https://angel.co/zettaset,https://angel.co/esionic,https://angel.co/drivesafety,https://angel.co/bungee-labs,","https://angel.co/nick-efstratis","https://angel.co/davidlcarter","https://angel.co/christopher-stone,https://angel.co/katie-szczepaniak-rice,https://angel.co/nick-efstratis,https://angel.co/ryan-hemingway,https://angel.co/calder,https://angel.co/ross-r","https://angel.co/nick-efstratis"
"Expansion Capital Partners","","Ark","Mark Donohue","","","Mark Donohue",No,"https://angel.co/ark","https://angel.co/markdonohue","","","https://angel.co/markdonohue"
"Felicis Ventures","","Foodzie,Zaarly,Baby.com.br,Bonobos,Chloe + Isabel,Credit Karma ,The Climate Corporation,Counsyl,Votizen,Wavii (acquired by Google),Dollar Shave Club,Gobble,Massive Health,Wildfire Interactive,Matterport ,MindSnacks,Practice Fusion,DISQUS,Shopify,Ark,Weebly,Pipewise,Mint,Milo,Piazza,","Aydin Senkut","","Sundeep Peechu,Aydin Senkut,Renata Quintini,Nick Baum,Kevin Xu","Aydin Senkut",Yes,"https://angel.co/foodzie,https://angel.co/zaarly,https://angel.co/baby-com-br,https://angel.co/bonobos,https://angel.co/chloe-isabel,https://angel.co/credit-karma-2,https://angel.co/the-climate-corporation,https://angel.co/counsyl,https://angel.co/votizen,https://angel.co/wavii-acquired-by-google,https://angel.co/dollar-shave-club,https://angel.co/gobble,https://angel.co/massive-health,https://angel.co/wildfire-interactive,https://angel.co/matterport-2,https://angel.co/mindsnacks,https://angel.co/practice-fusion,https://angel.co/disqus,https://angel.co/shopify,https://angel.co/ark,https://angel.co/weebly,https://angel.co/pipewise,https://angel.co/mint,https://angel.co/milo,https://angel.co/piazza,","https://angel.co/asenkut","","https://angel.co/speechu,https://angel.co/asenkut,https://angel.co/renata-quintini,https://angel.co/nickbaum,https://angel.co/imkevinxu","https://angel.co/asenkut"
"Fenox Venture Capital","An early stage investor headquartered in Silicon Valley with teams in Japan and Southeast Asia. We specialize in connecting startups  with multinational corporations for enterprise partnerships. We also help startups with hiring, entry to new international markets, and also M&amp;A.","Socialize,Incident Technologies,Bottlenose,Circa,DJZ,Jetlore,Butter Systems,99dresses,Regalii,Wevorce,ShareThis,ROXIMITY,lark technologies,Tech in Asia,Optilly,Dream Link Entertainment,IACC","Anis Uzzaman","","Eddy Lee,Brent Traidman,Xiang Guo","Anis Uzzaman",Yes,"https://angel.co/socialize,https://angel.co/incident-technologies,https://angel.co/bottlenose,https://angel.co/circa,https://angel.co/djz,https://angel.co/jetlore,https://angel.co/butter-systems,https://angel.co/99dresses,https://angel.co/regalii,https://angel.co/wevorce,https://angel.co/sharethis,https://angel.co/roximity,https://angel.co/lark-technologies,https://angel.co/tech-in-asia,https://angel.co/optilly,https://angel.co/dream-link-entertainment,https://angel.co/iacc","https://angel.co/anis-uzzaman-ph-d","","https://angel.co/eddylee,https://angel.co/brent_fenoxvc,https://angel.co/xiang-guo","https://angel.co/anis-uzzaman-ph-d"
"ff Venture Capital","","Contently,Rescale,Gamesalad,Klout,ThinkNear,Identified,Kohort,Cornerstone OnDemand,Addepar,Localresponse,IndieGoGo,Livefyre,Moveline,Movable Ink,Voxy,Bottlenose,HowAboutWe,Locality,Gobbler,Parse.ly,Playdek,YieldMo,Plated,CardFlight,InteraXon,","John Frankel","Binh Tran,Dennis Phelps,Eric Gomberg,Andrew Ackerman,Oliver Mitchell,Adam Amdur","Alex Katz,John Frankel,David Teten,Adam J. Plotkin,Ryan Armbrust,Jason Reynolds,Katie Frankel","John Frankel",Yes,"https://angel.co/contently,https://angel.co/rescale,https://angel.co/gamesalad,https://angel.co/klout,https://angel.co/thinknear,https://angel.co/identified,https://angel.co/kohort,https://angel.co/cornerstone-ondemand,https://angel.co/addepar,https://angel.co/localresponse,https://angel.co/indiegogo,https://angel.co/livefyre,https://angel.co/moveline,https://angel.co/movable-ink,https://angel.co/voxy,https://angel.co/bottlenose,https://angel.co/howaboutwe,https://angel.co/locality-1,https://angel.co/gobbler,https://angel.co/parse-ly,https://angel.co/playdek,https://angel.co/yieldmo,https://angel.co/plated,https://angel.co/cardflight,https://angel.co/interaxon,","https://angel.co/john_frankel","https://angel.co/binhtran,https://angel.co/dbrianphelps,https://angel.co/eric-gomberg,https://angel.co/andrew-ackerman-1,https://angel.co/oliver-mitchell,https://angel.co/adam-amdur","https://angel.co/alex-katz,https://angel.co/john_frankel,https://angel.co/david-teten,https://angel.co/aj-plotkin,https://angel.co/ryan-armbrust,https://angel.co/dhyasama,https://angel.co/katie-frankel","https://angel.co/john_frankel"
