Firm,Investment Stage,Minimum Investment,Maximum Investment,Location,Country,Fund Size,Link
"D. E. Shaw Group, The-Tokyo-Japan","Early Stage","","20000000000.0","Tokyo","Japan","28000000000.0","http://venture-capital-firms.findthebest.com/l/921/D-E-Shaw-Group-The-Tokyo-Japan"
"Claremont Creek Ventures","Early Stage/Startup/Seed","","","Oakland, California","United States","","http://venture-capital-firms.findthebest.com/l/852/Claremont-Creek-Ventures"
"Thoma Bravo, LLC-Chicago-Illinois","Expansion/Later Stage","25000000000.0","2e+11","Chicago, Illinois","United States","4000000000.0","http://venture-capital-firms.findthebest.com/l/91/Thoma-Bravo-LLC-Chicago-Illinois"
"Marquette Venture Partners","Early Stage/Expansion","","","Vail, Colorado","United States","","http://venture-capital-firms.findthebest.com/l/1124/Marquette-Venture-Partners"
"Updata Partners-Washington, DC","Early Stage/Expansion/Later Stage","5000000.0","20000000.0","Washington, District of Columbia","United States","450000000.0","http://venture-capital-firms.findthebest.com/l/777/Updata-Partners-Washington-DC"
"IDG Ventures","Early Stage","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1302/IDG-Ventures"
"Lauder Partners","","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/1316/Lauder-Partners"
"Rincon Venture Partners","Early Stage/Startup/Seed","","3000000.0","Santa Barbara, California","United States","40000000.0","http://venture-capital-firms.findthebest.com/l/4/Rincon-Venture-Partners"
"Skyline Ventures","Early Stage","15000000.0","35000000.0","Palo Alto, California","United States","800000000.0","http://venture-capital-firms.findthebest.com/l/1379/Skyline-Ventures"
"GrandBanks Capital","Startup/Seed/Early Stage","","","Wellesley Hills, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/854/GrandBanks-Capital"
"Access Venture Partners - Austin","Early Stage","","","Austin, Texas","United States","","http://venture-capital-firms.findthebest.com/l/968/Access-Venture-Partners-Austin"
"Redalpine","Early Stage/Startup/Seed","","","Zurich, Zurich","Switzerland","","http://venture-capital-firms.findthebest.com/l/708/Redalpine"
"The Challenge Fund","Startup/Seed/Early Stage/Expansion/Later Stage","","","Tel Aviv","Israel","","http://venture-capital-firms.findthebest.com/l/880/The-Challenge-Fund"
"Crosscut Ventures Management","Startup/Seed/Early Stage","","","Santa Monica, California","United States","","http://venture-capital-firms.findthebest.com/l/1238/Crosscut-Ventures-Management"
"Technology Partners-Mill Valley-California","Early Stage/Expansion/Later Stage/Startup/Seed","1000000.0","30000000.0","Mill Valley, California","United States","700000000.0","http://venture-capital-firms.findthebest.com/l/106/Technology-Partners-Mill-Valley-California"
"Needham Capital Partners-New York-New York","Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/203/Needham-Capital-Partners-New-York-New-York"
"Hercules Technology Growth Capital, Inc - McLean - Virginia","Early Stage/Expansion/Startup/Seed","","","Palo Alto, Virginia","United States","3400000000.0","http://venture-capital-firms.findthebest.com/l/936/Hercules-Technology-Growth-Capital-Inc-McLean-Virginia"
"IDG Ventures - Guangzhou - China","Early Stage","1000000000.0","5000000000.0","Guangzhou","China","3700000000.0","http://venture-capital-firms.findthebest.com/l/163/IDG-Ventures-Guangzhou-China"
"Kickstart Seed Fund","Startup/Seed","","","Salt Lake City, Utah","United States","","http://venture-capital-firms.findthebest.com/l/713/Kickstart-Seed-Fund"
"Trellis Partners","Early Stage","","","Cedar Creek, Texas","United States","","http://venture-capital-firms.findthebest.com/l/608/Trellis-Partners"
"Sigma Partners-Boston-Massachusetts","Early Stage/Startup/Seed","2000000000.0","8000000000.0","Boston, Massachusetts","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/61/Sigma-Partners-Boston-Massachusetts"
"Flow","Early Stage/Startup/Seed","","","Montreal, Quebec","Canada","","http://venture-capital-firms.findthebest.com/l/718/Flow"
"Maveron-Seattle-Washington","Early Stage","3000000.0","10000000.0","Seattle, Washington","United States","800000000.0","http://venture-capital-firms.findthebest.com/l/865/Maveron-Seattle-Washington"
"Capybara Ventures LLC","Startup/Seed","","","Portland, Oregon","United States","","http://venture-capital-firms.findthebest.com/l/1036/Capybara-Ventures-LLC"
"O'Connor Ventures","Early Stage/Startup/Seed","","","Santa Barbara, California","United States","","http://venture-capital-firms.findthebest.com/l/1/O-Connor-Ventures"
"FTV Capital-New York","Early Stage/Later Stage","10000000000.0","75000000000.0","New York, New York","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/195/FTV-Capital-New-York"
"M/C Venture Partners - Boston - Massachusetts","Later Stage/Expansion/Early Stage/Startup/Seed","5000000000.0","50000000000.0","Boston, Massachusetts","United States","1500000000.0","http://venture-capital-firms.findthebest.com/l/569/M-C-Venture-Partners-Boston-Massachusetts"
"Northern Light Venture Capital-Beijing-China","Early Stage/Later Stage/Expansion","","30000000000.0","Beijing","China","1000000000.0","http://venture-capital-firms.findthebest.com/l/659/Northern-Light-Venture-Capital-Beijing-China"
"Sevin Rosen Funds - Dallas - Texas","Later Stage/Expansion/Early Stage/Startup/Seed","","","Dallas, Texas","United States","","http://venture-capital-firms.findthebest.com/l/71/Sevin-Rosen-Funds-Dallas-Texas"
"HealthCare Ventures LLC-Cambridge-Massachusetts","Early Stage","","20000000000.0","Cambridge, Massachusetts","United States","1600000000.0","http://venture-capital-firms.findthebest.com/l/550/HealthCare-Ventures-LLC-Cambridge-Massachusetts"
"Okapi Venture Capital LLC","Early Stage/Startup/Seed","","2500000.0","Laguna Beach, California","United States","2000000.0","http://venture-capital-firms.findthebest.com/l/774/Okapi-Venture-Capital-LLC"
"Elevate Ventures, Inc.","Startup/Seed/Early Stage","","1000000.0","Indianapolis, Indiana","United States","34000000.0","http://venture-capital-firms.findthebest.com/l/891/Elevate-Ventures-Inc"
"Accel Partners-Bangalore-India","Early Stage/Expansion/Growth/Startup/Seed","","","Bangalore, Karnataka","India","","http://venture-capital-firms.findthebest.com/l/341/Accel-Partners-Bangalore-India"
"Ventana Capital-Washington DC","Startup/Seed","","","Reston, Virginia","United States","","http://venture-capital-firms.findthebest.com/l/951/Ventana-Capital-Washington-DC"
"Ignition Partners","Early Stage","","","Bellevue, Washington","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/1303/Ignition-Partners"
"PolyTechnos Venture-Partners II","Early Stage","","","Munich","","","http://venture-capital-firms.findthebest.com/l/1362/PolyTechnos-Venture-Partners-II"
"Excel Venture Management","Early Stage/Expansion/Later Stage","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1265/Excel-Venture-Management"
"Index Ventures - London - United Kingdom","Early Stage/Startup/Seed","","75000000000.0","London","United Kingdom","3200000000.0","http://venture-capital-firms.findthebest.com/l/858/Index-Ventures-London-United-Kingdom"
"Seapoint Ventures-Seattle-Washington","Early Stage","","","Seattle, Washington","United States","","http://venture-capital-firms.findthebest.com/l/662/Seapoint-Ventures-Seattle-Washington"
"Cutlass Capital-Boston-Massachusetts","Later Stage/Expansion/Early Stage/Startup/Seed","","","Boston, Massachusetts","United States","57000000.0","http://venture-capital-firms.findthebest.com/l/297/Cutlass-Capital-Boston-Massachusetts"
"Duchossois Technology Partners LLC-Elmhurst-Illinois","Early Stage/Expansion","","","Elmhurst, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/434/Duchossois-Technology-Partners-LLC-Elmhurst-Illinois"
"Massachusetts Green Energy Fund","Expansion/Later Stage","","","Brookline, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1328/Massachusetts-Green-Energy-Fund"
"Gryphon Capital Partners","","25000000.0","75000000.0","San Francisco, California","United States","900000000.0","http://venture-capital-firms.findthebest.com/l/1085/Gryphon-Capital-Partners"
"Harbor Pacific Capital","Early Stage/Expansion","","5000000.0","Palo Alto, California","United States","33000000.0","http://venture-capital-firms.findthebest.com/l/1288/Harbor-Pacific-Capital"
"QuestMark Partners, L.P.","Expansion/Startup/Seed","5000000.0","15000000.0","Baltimore, Maryland","United States","750000000.0","http://venture-capital-firms.findthebest.com/l/775/QuestMark-Partners-L-P"
"Advantage Capital Partners-St. Louis-Missouri","Early Stage/Expansion/Later Stage","","10000000000.0","St. Louis, Missouri","United States","8000000000.0","http://venture-capital-firms.findthebest.com/l/386/Advantage-Capital-Partners-St-Louis-Missouri"
"Rustic Canyon Ventures - Santa Monica - California","Early Stage/Startup/Seed","","","Santa Monica, California","United States","","http://venture-capital-firms.findthebest.com/l/105/Rustic-Canyon-Ventures-Santa-Monica-California"
"Sherbrooke Capital-Newton Lower Falls-Massachusetts","Expansion","","","Newton Lower Falls, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/671/Sherbrooke-Capital-Newton-Lower-Falls-Massachusetts"
"Courtagen Capital Group","Early Stage","","","Charlestown","United States","","http://venture-capital-firms.findthebest.com/l/719/Courtagen-Capital-Group"
"Murphree Venture Partners - Texas","Early Stage","","","Houston, Texas","United States","","http://venture-capital-firms.findthebest.com/l/1113/Murphree-Venture-Partners-Texas"
"BlueRun Investment Consulting-Shanghai-China","Early Stage","","","Shanghai","China","","http://venture-capital-firms.findthebest.com/l/898/BlueRun-Investment-Consulting-Shanghai-China"
"Chrysalis Ventures - Ann Arbor - Michigan","Expansion/Early Stage","2000000.0","15000000.0","Ann Arbor, Michigan","United States","400000000.0","http://venture-capital-firms.findthebest.com/l/489/Chrysalis-Ventures-Ann-Arbor-Michigan"
"Blade Ventures","Later Stage/Early Stage","","","Mission Viejo, California","United States","","http://venture-capital-firms.findthebest.com/l/359/Blade-Ventures"
"Channel Medical Partners","Early Stage","","","Skokie, Illinois","United States","","http://venture-capital-firms.findthebest.com/l/482/Channel-Medical-Partners"
"ATA Ventures","Early Stage/Startup/Seed","","","Redwood City, California","United States","400000000.0","http://venture-capital-firms.findthebest.com/l/1024/ATA-Ventures"
"Northern Light Venture Capital-Suzhou-China","Early Stage/Later Stage/Expansion","","30000000000.0","Suzhou","China","1000000000.0","http://venture-capital-firms.findthebest.com/l/944/Northern-Light-Venture-Capital-Suzhou-China"
"Battelle Ventures","Early Stage","","","Ewing, New Jersey","United States","255000000.0","http://venture-capital-firms.findthebest.com/l/1207/Battelle-Ventures"
"Centennial Ventures Denver - Colorado","Early Stage/Later Stage","4000000000.0","10000000000.0","Denver, Colorado","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/476/Centennial-Ventures-Denver-Colorado"
"Innovacom - Paris - France","Early Stage/Startup/Seed","","","Paris","France","","http://venture-capital-firms.findthebest.com/l/1142/Innovacom-Paris-France"
"Volition Capital LLC","Expansion","5000000.0","20000000.0","Boston, Massachusetts","United States","400000000.0","http://venture-capital-firms.findthebest.com/l/929/Volition-Capital-LLC"
"Canaan Partners-Israel","Early Stage/Expansion/Later Stage/Startup/Seed","","","Herzliya","Israel","3400000000.0","http://venture-capital-firms.findthebest.com/l/50/Canaan-Partners-Israel"
"Lee Munder Capital Group","","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1108/Lee-Munder-Capital-Group"
"Advantage Capital Partners-New Orleans-Louisiana","Early Stage/Expansion/Later Stage","","10000000000.0","New Orleans, Louisiana","United States","8000000000.0","http://venture-capital-firms.findthebest.com/l/392/Advantage-Capital-Partners-New-Orleans-Louisiana"
"Flagship Ventures","Early Stage/Startup/Seed","","15000000.0","Cambridge, Massachusetts","United States","900000000.0","http://venture-capital-firms.findthebest.com/l/188/Flagship-Ventures"
"IDG Ventures - Bangalore - India","Early Stage","1000000000.0","5000000000.0","Bangalore, Karnataka","India","3700000000.0","http://venture-capital-firms.findthebest.com/l/168/IDG-Ventures-Bangalore-India"
"GenevaGroup International - Boston - US","","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1075/GenevaGroup-International-Boston-US"
"Tennant Capital Partners","Startup/Seed/Early Stage/Expansion","","","West Hartford, Connecticut","United States","","http://venture-capital-firms.findthebest.com/l/1184/Tennant-Capital-Partners"
"Borealis Ventures - Portsmouth","Early Stage/Startup/Seed","","","Portsmouth, New Hampshire","United States","","http://venture-capital-firms.findthebest.com/l/1033/Borealis-Ventures-Portsmouth"
"Meritech Capital Partners","Later Stage","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/577/Meritech-Capital-Partners"
"Carlyle Group, The - Singapore","Expansion/Early Stage","","","","Singapore","1.7e+11","http://venture-capital-firms.findthebest.com/l/470/Carlyle-Group-The-Singapore"
"DFJ Mercury-Houston-Texas","Early Stage/Startup/Seed","","","Houston, Texas","United States","","http://venture-capital-firms.findthebest.com/l/440/DFJ-Mercury-Houston-Texas"
"GGV Capital-Menlo Park-California","Expansion","5000000000.0","25000000000.0","Menlo Park, California","United States","1600000000.0","http://venture-capital-firms.findthebest.com/l/510/GGV-Capital-Menlo-Park-California"
"General Atlantic-São Paulo-Brazil","","75000000000.0","4e+11","São Paulo","Brazil","2150000000.0","http://venture-capital-firms.findthebest.com/l/508/General-Atlantic-S-o-Paulo-Brazil"
"Advantage Capital Partners-Miami-Florida","Early Stage/Expansion/Later Stage","","10000000000.0","Miami, Florida","United States","8000000000.0","http://venture-capital-firms.findthebest.com/l/390/Advantage-Capital-Partners-Miami-Florida"
"Salmon River Capital II","Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1373/Salmon-River-Capital-II"
"Bay Partners - Palo Alto - California","Startup/Seed","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/26/Bay-Partners-Palo-Alto-California"
"Recruit Strategic Partners","Startup/Seed/Early Stage/Expansion","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/1368/Recruit-Strategic-Partners"
"Accel Partners-Shanghai","Early Stage/Expansion/Growth/Startup/Seed","","","Shanghai","China","","http://venture-capital-firms.findthebest.com/l/1153/Accel-Partners-Shanghai"
"Ben Franklin Technology Partners-Philadelphia-Pennsylvania","Early Stage/Expansion","","","Philadelphia, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/364/Ben-Franklin-Technology-Partners-Philadelphia-Pennsylvania"
"Masthead Venture Partners-Cambridge-Massachusetts","Early Stage/Startup/Seed","","","Cambridge, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/573/Masthead-Venture-Partners-Cambridge-Massachusetts"
"Council Ventures","Startup/Seed/Early Stage","","5000000.0","Nashville, Tennessee","United States","150000000.0","http://venture-capital-firms.findthebest.com/l/567/Council-Ventures"
"Fidelity Ventures-London-United Kingdom","Early Stage/Expansion","","","London","United Kingdom","","http://venture-capital-firms.findthebest.com/l/519/Fidelity-Ventures-London-United-Kingdom"
"Vision Capital-Burlingame-California","Early Stage/Expansion","","","Burlingame, California","United States","","http://venture-capital-firms.findthebest.com/l/331/Vision-Capital-Burlingame-California"
"De Novo Ventures-Palo Alto-California","Early Stage/Expansion/Later Stage/Startup/Seed","","10000000.0","Palo Alto, California","United States","650000000.0","http://venture-capital-firms.findthebest.com/l/178/De-Novo-Ventures-Palo-Alto-California"
"Tribeca Venture Partners","Startup/Seed/Early Stage","","4000000.0","New York, New York","United States","46500000.0","http://venture-capital-firms.findthebest.com/l/1401/Tribeca-Venture-Partners"
"Formula VC","Early Stage","","","Menlo Park","United States","75000000.0","http://venture-capital-firms.findthebest.com/l/1431/Formula-VC"
"Walden International-Kuala Lumpur-Malaysia","Early Stage/Expansion/Startup/Seed","","","Kuala Lumpur","Malaysia","","http://venture-capital-firms.findthebest.com/l/355/Walden-International-Kuala-Lumpur-Malaysia"
"Benchmark Capital-Menlo Park-California","Early Stage","2000000.0","80000000.0","Menlo Park, California","United States","425000000.0","http://venture-capital-firms.findthebest.com/l/41/Benchmark-Capital-Menlo-Park-California"
"Lightspeed Venture Partners-Shanghai-China","Early Stage/Expansion/Startup/Seed","1000000000.0","25000000000.0","Shanghai","","2000000000.0","http://venture-capital-firms.findthebest.com/l/850/Lightspeed-Venture-Partners-Shanghai-China"
"Osage Partners","Early Stage","1000000.0","2000000.0","Bala Cynwyd, Pennsylvania","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/1177/Osage-Partners"
"Village Ventures - New York - New York","Early Stage/Startup/Seed","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/627/Village-Ventures-New-York-New-York"
"RiverVest Venture Partners - St. Louis - Missouri","Early Stage/Later Stage","","10000000.0","St. Louis, Missouri","United States","208000000.0","http://venture-capital-firms.findthebest.com/l/594/RiverVest-Venture-Partners-St-Louis-Missouri"
"Pappas Ventures","Later Stage/Expansion/Early Stage/Startup/Seed","","6000000.0","Durham, North Carolina","United States","350000000.0","http://venture-capital-firms.findthebest.com/l/763/Pappas-Ventures"
"Matrix Partners-Palo Alto-California","Early Stage/Startup/Seed","","","Palo Alto, California","United States","","http://venture-capital-firms.findthebest.com/l/262/Matrix-Partners-Palo-Alto-California"
"Thomas, McNerney &amp; Partners L.L.C-Minneapolis-Minnesota","Early Stage/Expansion/Later Stage/Startup/Seed","1000000.0","50000000.0","Minneapolis, Minnesota","United States","600000000.0","http://venture-capital-firms.findthebest.com/l/82/Thomas-McNerney-And-Partners-L-L-C-Minneapolis-Minnesota"
"Boston Community Capital","Early Stage","","","Boston, Massachusetts","United States","","http://venture-capital-firms.findthebest.com/l/1217/Boston-Community-Capital"
"Kleiner Perkins Caufield &amp; Byers- Menlo Park","Early Stage/Startup/Seed/Expansion","","75000000000.0","Menlo Park, California","United States","1430000000.0","http://venture-capital-firms.findthebest.com/l/270/Kleiner-Perkins-Caufield-And-Byers-Menlo-Park"
"Ben Franklin Technology Partners-University Park-Pennsylvania","Early Stage/Expansion","","","University Park, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/368/Ben-Franklin-Technology-Partners-University-Park-Pennsylvania"
"Needham Capital Partners-San Francisco-California","Early Stage","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/207/Needham-Capital-Partners-San-Francisco-California"
"LFE Capital-Minneapolis-Minnesota","","","","Minneapolis, Minnesota","United States","","http://venture-capital-firms.findthebest.com/l/642/LFE-Capital-Minneapolis-Minnesota"
"Avalon Ventures","Startup/Seed/Early Stage","","","La Jolla, California","United States","200000000.0","http://venture-capital-firms.findthebest.com/l/1204/Avalon-Ventures"
"Vanguard Ventures-Houston-Texas","Early Stage/Startup/Seed","10000000.0","12000000.0","Houston, Texas","United States","350000000.0","http://venture-capital-firms.findthebest.com/l/108/Vanguard-Ventures-Houston-Texas"
"CHL Medical Partners","Early Stage/Startup/Seed","","12000000.0","Stamford, Connecticut","United States","120000000.0","http://venture-capital-firms.findthebest.com/l/485/CHL-Medical-Partners"
"Horizon Ventures","Startup/Seed","2000000.0","7000000.0","Los Altos, California","United States","150000000.0","http://venture-capital-firms.findthebest.com/l/1295/Horizon-Ventures"
"Pfizer Venture Investments","Early Stage/Expansion","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1359/Pfizer-Venture-Investments"
"American River Ventures","Early Stage","","","Sacramento, California","United States","100000000.0","http://venture-capital-firms.findthebest.com/l/134/American-River-Ventures"
"HarbourVest Partners LLC-London-United Kingdom","Later Stage","","20000000000.0","London","","6700000000.0","http://venture-capital-firms.findthebest.com/l/552/HarbourVest-Partners-LLC-London-United-Kingdom"
"Crescendo Ventures","Early Stage/Startup/Seed","","10000000000.0","Palo Alto, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/300/Crescendo-Ventures"
"HCI Equity Partners - Minneapolis - Minnesota","Expansion","","","Minneapolis, Minnesota","United States","","http://venture-capital-firms.findthebest.com/l/604/HCI-Equity-Partners-Minneapolis-Minnesota"
"Latterell Venture Partners","Early Stage/Startup/Seed","","20000000.0","San Francisco, California","United States","300000000.0","http://venture-capital-firms.findthebest.com/l/196/Latterell-Venture-Partners"
"Welsh, Carson, Anderson &amp; Stowe","Later Stage","","","New York, New York","United States","20000000000.0","http://venture-capital-firms.findthebest.com/l/732/Welsh-Carson-Anderson-And-Stowe"
"Venrock Associates-New York","Early Stage/Startup/Seed","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/79/Venrock-Associates-New-York"
"D. E. Shaw Group, The-Boston-Massachusetts","Early Stage","","20000000000.0","Wellesley, Massachusetts","United States","28000000000.0","http://venture-capital-firms.findthebest.com/l/920/D-E-Shaw-Group-The-Boston-Massachusetts"
"Draper Fisher Jurvetson-Shanghai-China","Early Stage/Startup/Seed","","25000000000.0","Shanghai","China","7000000000.0","http://venture-capital-firms.findthebest.com/l/437/Draper-Fisher-Jurvetson-Shanghai-China"
"VantagePoint Venture Partners-Central-Hong Kong","Later Stage/Expansion/Early Stage/Startup/Seed","","","Central  Hong Kong","Hong Kong","4000000000.0","http://venture-capital-firms.findthebest.com/l/97/VantagePoint-Venture-Partners-Central-Hong-Kong"
"Kentucky Seed Capital Fund - Lexington","Early Stage/Startup/Seed","","","Lexington, Kentucky","United States","5000000.0","http://venture-capital-firms.findthebest.com/l/1103/Kentucky-Seed-Capital-Fund-Lexington"
"KTB Ventures-Beijing-China","Early Stage","","","Beijing","China","","http://venture-capital-firms.findthebest.com/l/785/KTB-Ventures-Beijing-China"
"Enerdigm Ventures","Expansion","","","Hawaii","United States","","http://venture-capital-firms.findthebest.com/l/1261/Enerdigm-Ventures"
"LionBird","Startup/Seed/Early Stage","","","","","","http://venture-capital-firms.findthebest.com/l/1430/LionBird"
"D. E. Shaw Group, The-San Francisco-California","Early Stage","","20000000000.0","San Francisco, California","United States","28000000000.0","http://venture-capital-firms.findthebest.com/l/410/D-E-Shaw-Group-The-San-Francisco-California"
"Ben Franklin Technology Partners-Bethlehem-Pennsylvania","Early Stage/Expansion","","","Bethlehem, Pennsylvania","United States","","http://venture-capital-firms.findthebest.com/l/367/Ben-Franklin-Technology-Partners-Bethlehem-Pennsylvania"
"Integral Capital Partners","Expansion","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/1306/Integral-Capital-Partners"
"Lighthouse Capital Partners-Greenbrae-California","Early Stage/Expansion/Startup/Seed","","","Greenbrae, California","United States","","http://venture-capital-firms.findthebest.com/l/199/Lighthouse-Capital-Partners-Greenbrae-California"
"New Enterprise Associates-New York-New York","Later Stage/Expansion/Early Stage/Startup/Seed","","1e+11","New York, New York","United States","13000000000.0","http://venture-capital-firms.findthebest.com/l/941/New-Enterprise-Associates-New-York-New-York"
"Carlyle Group, The - Mexico","Expansion/Early Stage","","","D.F. MÃ©xico","Mexico","1.7e+11","http://venture-capital-firms.findthebest.com/l/463/Carlyle-Group-The-Mexico"
"Flywheel Ventures-Albuquerque-New Mexico","Early Stage/Startup/Seed","","1000000.0","Albuquerque, New Mexico","United States","35000000.0","http://venture-capital-firms.findthebest.com/l/190/Flywheel-Ventures-Albuquerque-New-Mexico"
"Highland Capital Partners LLC-Boston-Massachusetts","Later Stage/Expansion/Early Stage/Startup/Seed","","","Cambridge, Massachusetts","United States","700000000.0","http://venture-capital-firms.findthebest.com/l/937/Highland-Capital-Partners-LLC-Boston-Massachusetts"
"Walden International-Shanghai-China","Early Stage/Expansion/Startup/Seed","","","Shanghai","China","","http://venture-capital-firms.findthebest.com/l/352/Walden-International-Shanghai-China"
"Isabella Capital LLC","Early Stage","","","Cincinnati, Ohio","United States","","http://venture-capital-firms.findthebest.com/l/702/Isabella-Capital-LLC"
"Fung Capital","Early Stage","","","San Francisco, California","United States","","http://venture-capital-firms.findthebest.com/l/1129/Fung-Capital"
"UV Partners","Early Stage/Startup/Seed","","","Salt Lake City, Utah","United States","5000000000.0","http://venture-capital-firms.findthebest.com/l/62/UV-Partners"
"General Atlantic-Düsseldorf-Germany","","75000000000.0","4e+11","Dusseldorf","Germany","17000000000.0","http://venture-capital-firms.findthebest.com/l/504/General-Atlantic-D-sseldorf-Germany"
"Voyager Capital-Menlo Park-California","Early Stage","","5000000.0","Menlo Park, California","United States","370000000.0","http://venture-capital-firms.findthebest.com/l/740/Voyager-Capital-Menlo-Park-California"
"Double M Partners","Startup/Seed/Early Stage","","","","United States","","http://venture-capital-firms.findthebest.com/l/1250/Double-M-Partners"
"EPIC Ventures-Rexburg-Idaho","Early Stage/Startup/Seed","","5000000.0","Rexburg, Idaho","United States","170000000.0","http://venture-capital-firms.findthebest.com/l/419/EPIC-Ventures-Rexburg-Idaho"
"Entrepia Ventures, Inc-Tokyo-Japan","Expansion/Early Stage","","","Tokyo","Japan","","http://venture-capital-firms.findthebest.com/l/287/Entrepia-Ventures-Inc-Tokyo-Japan"
"Granite Ventures, L.L.C.","Early Stage","2000000000.0","15000000000.0","San Francisco, California","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/281/Granite-Ventures-L-L-C"
"Atlas Venture","Early Stage/Startup/Seed","","5000000000.0","Cambridge, Massachusetts","United States","2500000000.0","http://venture-capital-firms.findthebest.com/l/871/Atlas-Venture"
"Aster Capital Partners","Later Stage/Expansion/Early Stage/Startup/Seed","","","Paris","France","","http://venture-capital-firms.findthebest.com/l/1201/Aster-Capital-Partners"
"CONTOUR VENTURE PARTNERS","Startup/Seed/Early Stage","","","New York, New York","United States","","http://venture-capital-firms.findthebest.com/l/1232/CONTOUR-VENTURE-PARTNERS"
"Updata Partners-Edison-New Jersey","Early Stage/Expansion/Later Stage","5000000.0","20000000.0","Edison, New Jersey","United States","450000000.0","http://venture-capital-firms.findthebest.com/l/778/Updata-Partners-Edison-New-Jersey"
"Strong Ventures","Startup/Seed/Early Stage","","","Los Angeles, California","United States","","http://venture-capital-firms.findthebest.com/l/1385/Strong-Ventures"
"Investor Growth Capital, Inc-Stockholm-Sweden","Expansion","","","Stockholm","Sweden","","http://venture-capital-firms.findthebest.com/l/701/Investor-Growth-Capital-Inc-Stockholm-Sweden"
"Lovell Minnick Partners-El Segundo-California","Later Stage","20000000.0","100000000.0","El Segundo, California","United States","850000000.0","http://venture-capital-firms.findthebest.com/l/647/Lovell-Minnick-Partners-El-Segundo-California"
"Pitango Venture Capital - Herzliya  - Israel","Later Stage/Expansion/Early Stage/Startup/Seed","","20000000000.0","Herzliya","Israel","1400000000.0","http://venture-capital-firms.findthebest.com/l/174/Pitango-Venture-Capital-Herzliya-Israel"
"Altos Ventures","Expansion/Early Stage","","","Menlo Park, California","United States","","http://venture-capital-firms.findthebest.com/l/133/Altos-Ventures"
"NewSpring Capital-Baltimore-Maryland","","5000000.0","50000000.0","Towson, Maryland","United States","900000000.0","http://venture-capital-firms.findthebest.com/l/943/NewSpring-Capital-Baltimore-Maryland"
"Earlybird-Berlin-Germany","Early Stage/Startup/Seed","1000000.0","20000000.0","Berlin","Germany","655000000.0","http://venture-capital-firms.findthebest.com/l/924/Earlybird-Berlin-Germany"
"IDG Ventures - Shanghai  - China","Early Stage","1000000000.0","5000000000.0","Shanghai","China","3700000000.0","http://venture-capital-firms.findthebest.com/l/161/IDG-Ventures-Shanghai-China"
"Nth Power LLC","Early Stage/Startup/Seed","1000000.0","15000000.0","San Francisco, California","United States","420000000.0","http://venture-capital-firms.findthebest.com/l/117/Nth-Power-LLC"
"Centennial Ventures - Austin - Texas","Early Stage/Later Stage","4000000000.0","10000000000.0","Austin, Texas","United States","1000000000.0","http://venture-capital-firms.findthebest.com/l/478/Centennial-Ventures-Austin-Texas"
"H.I.G. Capital Ventures LLC-Paris-France","Early Stage","15000000000.0","1e+11","Paris","France","11500000000.0","http://venture-capital-firms.findthebest.com/l/530/H-I-G-Capital-Ventures-LLC-Paris-France"
"Alta Partners","Early Stage/Later Stage","","","San Francisco, California","United States","2000000000.0","http://venture-capital-firms.findthebest.com/l/16/Alta-Partners"
"Cottonwood Technology Group - Los Alamos","Startup/Seed","","","Los Alamos, New Mexico","United States","","http://venture-capital-firms.findthebest.com/l/1051/Cottonwood-Technology-Group-Los-Alamos"
