name, funding_total_usd ,funding_rounds,founded_at,first_funding_at,last_funding_at
Dynamic Yield,"2,000,000",1,1/1/11,4/24/13,4/24/13
DynamicOps,"16,300,000",2,1/1/08,2/28/11,9/9/11
Dynamics,"40,700,000",2,,9/25/09,6/28/11
Dynamics Research,"4,200,000",1,1/1/55,1/14/10,1/14/10
Dynamighty,"130,000",1,3/1/11,9/6/11,9/6/11
Dynamis Software,"1,540,000",1,,2/11/13,2/11/13
Dynamix.tv,"3,000,000",1,1/1/10,1/1/10,1/1/10
Dynamo Media,"325,000",2,1/1/10,7/15/10,1/1/11
Dynamo Plastics,"50,000",1,6/7/13,6/1/13,6/1/13
DynaPump,"6,000,000",1,1/1/92,5/29/08,5/29/08
Dynasil,"3,000,000",1,,8/2/12,8/2/12
dynaTrace software,"21,900,000",3,1/1/05,2/15/07,1/7/11
Dynavax Technologies,"20,248,480",2,,1/7/10,5/25/10
Dynis,"30,000,000",1,1/1/92,7/10/13,7/10/13
Dynmark International,"981,000",1,1/1/01,1/25/07,1/25/07
DySISmedical,"11,349,443",1,1/1/02,4/15/13,4/15/13
Dysonics,"421,057",1,1/1/12,10/9/13,10/9/13
Dyyno,"14,078,664",3,8/1/07,8/1/07,4/22/11
DZZOM,,1,10/8/13,11/1/13,11/1/13
E Ink,"52,800,000",2,1/1/97,5/1/98,1/27/00
E Ink Holdings,"238,174,040",1,6/1/92,1/5/10,1/5/10
E la Carte,"17,500,000",3,1/1/09,7/2/10,6/24/13
e(ye)BRAIN,"5,100,000",2,1/1/08,11/18/09,10/9/12
E-Band Communications,"3,200,000",3,1/1/03,1/1/06,4/10/12
E-Blink,"30,626,280",6,1/1/05,1/1/05,12/3/13
e-Booking.com,"120,000",1,7/28/09,7/31/09,7/31/09
E-Box - Blogo.it,"3,474,608",2,11/25/04,2/24/07,7/2/08
E-Car Club,"479,224",2,1/1/11,3/25/13,4/22/13
e-channel,"363,000",1,1/1/99,3/29/07,3/29/07
e-contratos,"270,100",1,12/30/03,7/1/07,7/1/07
E-Cube Energy,"5,474,801",2,1/1/09,5/8/09,9/13/13
E-Duction,"20,500,000",2,1/1/97,6/1/04,5/25/07
E-Generator,,1,1/1/05,1/1/05,1/1/05
E-Health Records International,"3,043,610",2,1/1/12,1/13/14,1/14/14
E-House,,1,,1/1/07,1/1/07
E-Line Media,"3,934,286",1,1/1/07,10/3/13,10/3/13
e-Merges.com,"35,000",1,2/14/00,2/14/00,2/14/00
E-Mist Innovations,"150,000",1,,1/19/14,1/19/14
e-Nicotine Technologies,"3,800,000",1,1/1/13,9/10/13,9/10/13
e-Rewards,"60,000,000",1,1/1/99,10/7/08,10/7/08
e-SENS,"1,060,000",1,,1/9/14,1/9/14
e-Tag,,1,4/1/08,12/1/10,12/1/10
E-Trader Group,,1,,7/1/10,7/1/10
e-volo,"1,543,920",1,1/1/12,12/9/13,12/9/13
E.M.A.R.C.,"10,000,000",1,,7/16/12,7/16/12
e27,"615,000",1,1/1/06,2/13/13,2/13/13
E2america.com,"79,725",1,1/1/09,1/4/12,1/4/12
e2e Materials,"3,400,000",1,1/1/06,1/23/10,1/23/10
E2E Networks,"176,605",3,6/1/08,11/1/09,6/30/13
E4 Health,"3,500,000",1,1/1/11,2/21/13,2/21/13
e994,"94,000",2,1/1/09,1/1/08,1/1/09
EachNet,,3,1/1/99,1/1/99,10/1/00
Eachpal,"488,742",1,10/10/12,10/14/13,10/14/13
EagerPanda,,1,3/28/13,8/1/13,8/1/13
Eagle Creek Renewable Energy,"100,000,000",1,1/1/10,9/17/13,9/17/13
Eagle Energy Exploration,"300,000,000",1,1/1/09,12/13/13,12/13/13
Eagle Eye Solutions,"2,427,800",1,1/1/04,6/20/11,6/20/11
Eagle Genomics,"2,136,505",2,1/1/08,11/21/13,11/22/13
Eagle Hill Exploration,"12,000,000",1,1/1/06,8/15/13,8/15/13
Eagle Pharmaceuticals,"12,348,194",1,,2/8/11,2/8/11
Eagle-i Music,"1,563,275",1,,3/12/12,3/12/12
EaglEyeMed,"600,000",1,1/1/11,8/8/13,8/8/13
EAP Technology Systems,"275,000",1,5/1/99,3/20/13,3/20/13
Earbits,"605,000",2,1/20/10,6/17/11,1/1/13
EarDish,"700,117",2,,3/22/11,3/22/11
Earl Energy,"4,175,000",2,1/1/09,7/28/11,4/29/13
EarLens,"6,677,074",3,1/1/05,5/4/10,1/29/13
Earlier Media,,1,1/1/08,9/10/09,9/10/09
EarlyDoc,,1,1/1/11,1/1/12,1/1/12
EarlySense,"28,000,000",2,1/1/04,7/23/10,11/12/12
EarlyShares,"1,150,000",1,11/21/11,8/3/12,8/3/12
EarlyTracks,"1,846,405",4,6/12/09,6/12/09,6/1/12
Earmark,"50,000",1,1/1/73,7/13/12,7/13/12
Earnix,"10,000,000",2,1/1/01,9/13/05,9/4/08
Earth Class Mail,"21,400,000",4,1/1/04,1/1/06,10/1/08
Earth Networks,"5,900,008",1,1/1/93,3/4/13,3/4/13
Earth Renewable Technologies,"400,000",1,1/1/09,8/28/12,8/28/12
EarthLink,"23,598,258",1,1/1/94,4/12/11,4/12/11
earthmine,,1,7/1/06,1/1/07,1/1/07
Ease My Sell,"200,000",1,3/6/12,6/4/12,6/4/12
Easel,,1,1/1/12,8/1/12,8/1/12
Easel Learn,"40,000",2,8/6/12,8/6/12,1/15/13
Eashmart,,1,,1/31/14,1/31/14
eASIC,"139,143,676",9,1/1/99,5/28/04,9/11/13
Easiest Credit Card To Get Approved For,"25,000",1,5/11/12,5/1/12,5/1/12
EasilyDo,"4,300,000",1,,12/14/12,12/14/12
East Central Mental Health,"5,000,000",1,8/10/88,8/10/10,8/10/10
East End Manufacturing,"228,372",1,1/1/12,4/22/13,4/22/13
Eastbeam,"3,591,900",1,,2/7/06,2/7/06
Eastide,,2,,4/1/00,1/1/01
Eastside Endoscopy Center,"696,104",1,,3/16/10,3/16/10
Easy Bill Online,"100,000",1,1/9/03,11/1/07,11/1/07
Easy Food,"1,150,000",1,1/1/11,7/1/13,7/1/13
Easy Ice,"20,000,000",1,,1/28/14,1/28/14
Easy Metrics,"6,700,003",2,1/1/96,9/11/13,9/20/13
Easy Pairings,"40,000",1,9/1/12,1/7/13,1/7/13
Easy Social Shop,"800,000",2,1/1/11,11/7/12,1/31/13
Easy Solutions,"14,200,000",2,1/1/07,5/16/10,5/28/13
Easy Square Feet,,1,1/1/09,8/13/09,8/13/09
Easy Taxi,"37,000,000",4,6/24/11,10/1/12,10/23/13
Easy Tempo,"125,000",1,1/1/12,5/14/13,5/14/13
Easy Vino,"40,000",1,6/1/12,10/20/12,10/20/12
Easy Voyage,"45,943,240",2,,10/1/09,10/1/09
easy2comply (Dynasec),"1,000,000",1,1/1/02,10/2/07,10/2/07
easy2map,"36,000",2,6/1/11,11/1/12,2/1/13
Easyaula,,1,,2/10/13,2/10/13
Easycause,"150,000",1,1/1/11,1/23/12,1/23/12
Easyclass.com,"1,000,000",1,8/1/13,9/1/13,9/1/13
EasyCopay,,1,1/1/06,8/31/06,8/31/06
EasyESI,"1,504,995",2,,2/17/11,1/9/13
EasyLink,"5,400,000",1,4/14/95,4/13/06,4/13/06
easyOwn.it,"138,000",1,4/10/11,5/1/11,5/1/11
EasyPaint,"80,000",1,1/1/11,1/1/12,1/1/12
EasyPost,"850,000",2,9/1/12,3/1/13,6/6/13
EasyProve,"20,118",1,4/1/11,2/26/12,2/26/12
EasySize,"29,299",2,9/5/13,12/25/12,9/2/13
Eat Club,"6,500,000",2,1/1/10,6/1/11,4/3/13
Eat Latin,,1,3/1/12,3/15/12,3/15/12
Eat Local,,1,1/1/13,1/1/13,1/1/13
EatAds.com,,1,10/1/12,12/9/12,12/9/12
Eating Recovery Center,"5,493,124",1,1/1/08,5/27/10,5/27/10
EatingWell,,1,,2/2/02,2/2/02
EatLime,"3,383,459",4,1/1/07,1/1/07,10/7/13
EATON,"2,400,000",1,1/1/11,7/30/13,7/30/13
EatStreet,"2,000,000",1,1/1/10,2/26/13,2/26/13
EB Holdings,"107,676,692",1,1/1/10,8/26/10,8/26/10
eBaoTech,"36,000,000",1,1/1/00,2/5/13,2/5/13
eBay,"6,700,000",1,9/1/95,6/1/97,6/1/97
EBDSoft,"4,550,000",1,1/1/97,3/3/08,3/3/08
eBillme,"23,000,000",2,10/1/04,9/20/06,9/1/08
eBioscience,"55,000,000",1,,2/11/11,2/11/11
eBIZ.mobility,"1,100,000",1,1/1/03,3/2/09,3/2/09
eblizz,"650,000",1,,1/1/08,1/1/08
Ebook Glue,"20,000",1,12/24/12,5/21/13,5/21/13
EBOOKAPLACE,"1,000,000",1,1/1/10,1/1/11,1/1/11
ebookpie,"50,000",1,1/1/07,3/27/12,3/27/12
eBooks in Motion,"335,000",1,1/1/12,11/16/13,11/16/13
EBR Systems,"61,000,026",3,1/1/03,10/1/05,2/10/11
eBrevia,"515,000",5,1/1/12,3/2/12,10/14/13
ebridge,"2,500,000",1,1/1/95,9/30/10,9/30/10
eBrisk Video,"510,000",1,1/1/09,10/15/12,10/15/12
EBS Technologies,"4,345,800",1,,1/14/10,1/14/10
EBS Worldwide Services,"5,500,000",1,1/1/00,6/7/06,6/7/06
eBuddy,"15,873,700",2,9/1/03,10/26/06,2/5/08
eBuilder,"5,626,680",1,,8/26/09,8/26/09
eBureau,"38,000,000",4,1/1/04,1/1/04,9/29/09
Ebury Partners,"5,303,380",1,1/1/09,9/22/13,9/22/13
Ebuzzing,"56,803,200",6,1/1/07,1/1/07,2/13/13
Ebyline,"6,500,000",2,8/9/09,11/8/10,10/12/11
EC Development,"230,981",1,1/1/05,6/16/11,6/16/11
eCardio,,1,1/1/04,7/1/09,7/1/09
eCareDiary,"277,000",1,9/1/09,9/1/09,9/1/09
eCareer,"16,000",1,11/1/09,8/28/12,8/28/12
Ecast,"30,300,000",3,1/1/99,5/7/08,5/26/11
Ecato,,1,5/2/05,5/2/05,5/2/05
Eccentex Corporation,"7,709,323",1,1/1/05,3/2/12,3/2/12
Ecelles Carson,"1,500,000",1,6/1/00,8/1/11,8/1/11
eCert,"8,000,000",1,,10/19/10,10/19/10
Echelon,"16,000,000",1,,3/4/11,3/4/11
Echo,"4,800,000",2,1/1/07,8/1/07,10/14/08
Echo Automotive,"200,000",1,,6/27/13,6/27/13
Echo Global Logistics,"17,400,000",1,,8/9/06,8/9/06
Echo it,"60,000",1,9/15/10,9/30/10,9/30/10
Echo Therapeutics,"38,914,126",8,,7/29/09,12/19/13
Echo360,"58,552,021",5,1/1/07,4/7/10,5/29/12
echoBase,"1,795,083",3,1/1/09,11/18/10,3/13/13
Echobit,"50,000",1,8/1/06,6/21/12,6/21/12
Echobot Media Technologies GmbH,,1,3/1/11,3/1/13,3/1/13
Echodio,,1,1/1/09,1/1/09,1/1/09
echoecho,"1,500,000",2,1/1/10,9/8/11,5/7/12
EchoFirst,"13,700,000",1,1/1/07,9/28/10,9/28/10
Echograph,"250,000",1,10/1/12,9/1/12,9/1/12
Echoing Green,"100,000",1,1/1/87,9/16/13,9/16/13
Echolocation,"200,000",1,1/1/11,1/8/13,1/8/13
Echologics,"500,000",1,,11/27/08,11/27/08
Echometrix,"450,000",2,,1/7/11,5/9/12
Echopass Corporation,"25,379,395",3,1/1/00,10/30/06,9/16/10
EchoPixel,"4,099,999",2,1/1/12,6/27/13,11/4/13
EchoSign,"8,500,000",2,7/15/05,10/1/05,10/1/07
Echovox,"12,500,000",2,1/1/00,7/1/05,2/1/07
ECI Telecom,"172,500,000",2,1/1/61,7/9/08,1/1/10
eCift,"4,018,200",2,1/1/09,1/1/09,12/6/11
Ecinity,"1,800,000",1,,4/19/13,4/19/13
eCircle,"87,168,000",1,1/1/99,1/11/10,1/11/10
Eckard Recovery Services,"310,000",1,2/1/11,4/25/12,4/25/12
ECKey,"2,248,905",2,1/1/05,10/11/12,11/12/13
Eclector,"264,415",2,2/4/08,8/10/08,5/1/10
eClinic Healthcare,"50,000",1,1/1/13,9/19/13,9/19/13
Eclipse Market Solutions,"1,200,000",1,1/1/11,1/1/11,1/1/11
ECO,"460,000",1,1/1/11,9/5/13,9/5/13
Eco Dream Venture,,1,5/17/10,5/17/10,5/17/10
ECO Films,"60,000",1,1/1/07,10/18/11,10/18/11
Eco Market,"1,028,856",4,1/1/09,10/1/10,3/1/13
Eco Plastics,"15,915,863",2,,1/7/08,7/28/08
Eco Power Solutions,"13,335,737",5,,10/30/08,8/2/12
Eco Products,"2,000,000",1,,9/4/08,9/4/08
Eco Scraps,"5,288,428",4,1/1/10,10/14/11,11/20/13
ECO-SAFE,"50,000",1,8/28/07,8/28/07,8/28/07
Eco-Site,"20,850,000",1,1/1/12,12/12/13,12/12/13
ECO2 Plastics,"6,500,000",1,,6/6/08,6/6/08
eco4cloud,"3,329,850",2,4/12/12,4/12/12,11/19/12
EcoArk,"912,500",1,1/1/11,9/10/13,9/10/13
ecoATM,"71,400,000",4,8/2/08,2/17/10,2/6/13
ecobee,"16,149,049",3,1/1/07,1/1/07,8/1/12
EcoBuddiesä‹¢ Interactive,,1,10/1/07,10/1/07,10/1/07
Ecochlor,"6,496,043",3,1/1/01,3/11/10,3/13/12
EcoDirect,"100,000",1,6/1/08,6/1/08,6/1/08
EcoDomus,"500,000",1,1/1/10,5/25/11,5/25/11
EcoEridania,"14,250,000",1,,8/12/11,8/12/11
EcoFactor,"27,394,996",4,1/1/06,4/6/10,10/14/13
Ecogii Energy Labs,"500,000",1,2/7/12,5/1/08,5/1/08
EcoGroomer,"295,000",1,1/1/11,11/4/13,11/4/13
Ecohaus,"3,918,010",2,,6/7/10,10/28/10
ecoInsight,"800,000",1,,10/19/11,10/19/11
EcoIntense,"909,000",1,,2/1/08,2/1/08
Ecolibrium,"1,600,000",1,1/1/09,5/27/13,5/27/13
EcoLogic Solutions,"1,725,000",1,1/1/08,1/22/14,1/22/14
EcoLogicLiving,"805,834",1,,4/25/12,4/25/12
Ecometrica,"391,655",1,,3/15/12,3/15/12
eCommera,"10,410,000",2,1/1/07,9/21/09,11/25/09
eCommHub,"2,700,000",1,12/1/09,9/16/13,9/16/13
Ecommo,"58,511",1,6/5/08,6/5/08,6/5/08
ecomom,"10,700,000",4,8/1/08,9/25/10,8/14/12
EcoMotors,"58,750,000",3,1/1/11,1/11/08,7/10/12
eConais,"100,000",2,8/1/10,11/3/11,10/30/13
Econic Technologies,"9,466,687",2,1/1/11,2/21/12,12/18/13
Econotherm,,1,1/1/07,1/30/13,1/30/13
Ecopol,"653,200",1,1/1/09,12/23/10,12/23/10
ECORE International,"29,000,000",1,1/1/89,5/20/08,5/20/08
Ecorithm,"550,000",4,1/1/09,1/21/11,2/14/13
EcorNaturaSÒ,,1,,1/15/14,1/15/14
EcoScraps,"1,500,000",1,1/1/10,7/25/12,7/25/12
EcoSense Lighting,"31,572,684",4,1/1/08,1/31/11,8/27/13
Ecosia,"21,471",1,9/1/09,9/1/09,9/1/09
EcoSMART Technologies,"15,021,489",3,1/1/96,6/10/08,10/21/10
Ecosphere Technologies,"10,000,000",1,,7/22/09,7/22/09
EcoSynthetix,"17,245,848",2,,1/13/10,11/30/10
ECOtality,"130,300,000",4,1/1/99,8/1/09,3/14/12
EcoTimber,"4,000,000",1,1/1/92,5/14/07,5/14/07
eCourier.co.uk,"15,071,352",4,9/18/03,9/15/03,9/1/07
EcoVadis,"1,400,000",1,4/1/07,10/1/07,10/1/07
Ecovative Design,"14,000,000",2,1/1/07,5/24/11,11/8/13
Ecowell,"579,809",1,4/18/09,2/22/11,2/22/11
Ecozen Solutions,,1,1/1/10,12/12/13,12/12/13
"Ecquire, Inc.","570,000",4,4/2/08,4/2/08,8/15/11
Ecrio,"27,000,000",2,,8/2/05,9/19/07
eCullet,"42,999,500",2,1/1/99,7/12/11,8/7/13
Ecutronic Technologies,"1,550,000",1,,11/15/05,11/15/05
eDabba,"2,000,000",2,4/1/11,4/1/12,9/6/13
Edamam,,1,4/10/09,1/1/12,1/1/12
EDAN,"41,130,000",2,,12/1/08,12/1/09
EdCaliber,"500,000",1,1/1/09,8/29/13,8/29/13
Eddingpharm (Cayman),"24,000,000",1,,9/17/10,9/17/10
eDealya,"950,000",3,1/1/11,1/1/11,2/1/13
edelight,,1,7/1/06,6/1/07,6/1/07
Eden Park Illumination,"11,084,050",4,1/1/07,2/3/10,1/8/14
Eden Rock Communications,"700,000",2,1/1/07,2/3/10,12/6/12
Eden Therapeutics,"1,000,000",1,1/1/07,11/30/11,11/30/11
Edenbase,"1,100,000",1,,2/1/06,2/1/06
Edenbee.com,"329,250",1,1/1/07,1/1/07,1/1/07
Edenbrook Limited,"1,890,000",1,1/1/01,5/3/05,5/3/05
edenes,"51,756",1,6/1/12,1/1/12,1/1/12
EdeniQ,"83,670,000",4,1/1/08,4/21/08,5/1/13
Edentify,"733,620",1,1/1/04,4/9/09,4/9/09
eDeriv Technologies,,1,9/1/09,9/1/09,9/1/09
Edevate,"300,000",3,9/1/13,4/1/13,10/1/13
EDF Renewable Energy,"200,000,000",1,1/1/87,1/10/13,1/10/13
Edfa3ly,,1,3/1/10,8/12/13,8/12/13
Edgar Online,"14,000,000",2,1/1/95,1/29/10,6/23/10
Edge Music Network,"100,000",1,,9/20/12,9/20/12
Edge Therapeutics,"18,972,500",4,1/1/09,11/8/10,6/4/13
EdgeCast Networks,"74,000,000",5,8/1/06,8/1/06,7/18/13
EdgeConneX,"6,510,001",2,1/1/09,6/8/10,7/22/11
Edgecore Networks,"3,600,000",1,1/1/09,2/23/10,2/23/10
EdgeInova International,"50,000",1,,5/4/09,5/4/09
Edgeio,"6,500,000",2,,1/1/06,7/1/07
Edgemont Pharmaceuticals,"4,845,795",1,,12/9/10,12/9/10
EdgeSpring,"12,700,000",2,7/1/10,7/1/10,5/17/13
Edgeware,"11,780,000",3,1/1/04,1/26/06,3/17/09
Edgewater Networks,"5,000,000",1,1/1/02,5/26/10,5/26/10
EdgeWave Inc.,"8,445,695",3,1/1/95,8/6/10,1/10/12
Edgewood Services,"200,000",1,1/1/08,1/1/08,1/1/08
Edhub,"38,598",1,3/1/13,9/1/13,9/1/13
Edictive,"850,000",3,1/31/11,1/31/11,6/1/12
Edicy,"100,000",1,11/1/07,2/1/08,2/1/08
eDiets.com,"25,167,383",3,,6/18/10,12/12/11
Edimer Pharmaceuticals,"18,000,000",1,1/1/09,7/30/13,7/30/13
Edinburgh Robotics,"587,000",2,1/1/05,2/1/06,5/4/07
Edison Pharmaceuticals,"27,374,933",4,1/1/05,4/15/10,11/26/12
Edita Food Industries,"102,000,000",1,1/1/96,6/24/13,6/24/13
Editas Medicine,"43,000,000",1,1/1/13,11/25/13,11/25/13
EDITD,"1,600,000",1,,6/7/11,6/7/11
EditGrid,"2,500,000",3,2/21/03,1/1/06,6/10/07
Edition01,"565,000",1,3/1/11,5/1/11,5/1/11
Editlite,"600,000",1,,8/25/07,8/25/07
Editorially,,1,,1/1/12,1/1/12
edjing,"2,500,000",1,7/19/09,9/25/13,9/25/13
EDMdesigner,"200,000",1,2/1/13,10/11/13,10/11/13
Edmodo,"40,000,000",3,9/2/08,12/6/10,7/19/12
edo,"50,500,000",5,5/1/07,1/1/07,9/13/12
Edoome,"260,000",3,3/1/12,3/1/12,9/2/13
eDoorways International,"5,067,737",2,1/1/88,1/24/11,4/23/12
eDossea,"100,000",1,1/1/10,9/25/13,9/25/13
EDP Biotech,"2,706,000",4,1/1/05,1/14/10,5/13/13
eDreams Edusoft,"2,000,000",1,1/1/10,5/29/13,5/29/13
EdRover,,1,7/7/10,3/20/11,3/20/11
Edserv Softsystems,"964,000",1,1/1/01,3/27/08,3/27/08
Edsix Brain Lab Private Limited,"50,000",1,1/1/13,6/30/13,6/30/13
EdSurge,"400,000",1,2/1/11,8/29/12,8/29/12
Edtrips,"50,000",1,1/1/10,1/1/13,1/1/13
Education Development Center (EDC),"19,600,000",2,1/1/58,10/4/10,10/8/13
Education Elements,"8,100,000",2,1/1/10,2/1/11,3/6/12
Education Everytime,"50,000",1,3/22/13,3/1/13,3/1/13
Education Networks of America,"14,300,000",1,,3/18/10,3/18/10
Education.com,"30,260,000",5,9/1/06,8/1/06,10/1/12
EducationSuperHighway,"9,000,000",1,1/1/12,12/4/13,12/4/13
Educerus,"685,000",1,1/1/11,8/24/11,8/24/11
eduClipper,"600,000",1,7/1/12,9/30/12,9/30/12
Educreations,"2,200,000",1,,8/14/12,8/14/12
eduFire,"1,700,000",2,,4/9/08,9/8/09
EdÏkame,"130,390",1,,1/7/13,1/7/13
EduKart,"500,000",1,1/1/11,5/30/13,5/30/13
EduKoala,"128,660",1,,5/29/13,5/29/13
edulio,"59,730",2,9/1/12,3/1/12,3/20/12
Edumedics,"1,352,713",2,1/1/11,6/3/13,1/21/14
EDUonGo,"530,000",1,5/1/12,10/21/13,10/21/13
Eduora,,1,3/11/11,5/1/11,5/1/11
eduPad,"694,280",2,3/1/10,11/1/10,3/1/11
Edupath,,1,1/1/09,8/1/11,8/1/11
Edusoft,"1,000,000",1,1/1/90,2/1/02,2/1/02
Eduson.tv,"1,000,000",1,1/1/13,4/11/13,4/11/13
EduSourced,"20,000",1,1/1/12,6/1/12,6/1/12
Edustation.me,"250,000",3,8/1/10,9/1/10,2/1/13
Edutor,"400,000",1,,3/26/12,3/26/12
Edventory,"15,000",1,9/1/12,1/1/13,1/1/13
Edventures,"365,000",2,1/1/88,12/1/10,4/8/11
Edvert,"1,040,000",1,,7/16/07,7/16/07
Edxact,"2,630,000",1,,5/13/05,5/13/05
eeden,"200,000",1,4/17/10,4/17/10,4/17/10
eefoof.com,"225,000",1,,11/2/06,11/2/06
eeGeo,"4,300,000",1,,7/17/12,7/17/12
eegoes,"2,097,100",3,,7/19/10,7/26/11
eelusion,"1,700,000",1,9/1/11,5/10/12,5/10/12
eEvent,"350,000",2,11/1/09,10/27/10,3/9/12
eEye,"24,000,000",2,1/1/98,12/1/02,6/1/04
eFans,"50,000",1,9/13/07,2/7/08,2/7/08
eFashion Solutions,"20,400,000",2,,7/10/06,4/19/10
efectivox,"6,192,900",1,,2/26/11,2/26/11
Eferio,"614,900",1,8/1/12,8/1/12,8/1/12
Effcon MXR,"721,566",1,1/1/09,6/29/11,6/29/11
Effective Measure,"4,000,000",1,9/1/08,2/17/10,2/17/10
Effector Therapeutics,"45,000,000",1,1/1/12,5/20/13,5/20/13
Effektif,,1,3/11/13,3/11/13,3/11/13
Efficiency Exchange,"600,000",1,1/20/12,1/25/12,1/25/12
Efficiency Network,"150,000",1,1/1/12,3/27/12,3/27/12
Efficient Cloud,"141,410",1,10/1/10,4/1/11,4/1/11
Efficient Drivetrains,"625,000",1,1/1/06,6/16/11,6/16/11
Efficient Frontier,"6,000,000",1,1/1/02,8/31/06,8/31/06
Efficient Power Conversion,"7,500,000",1,,3/10/10,3/10/10
Efficient-V,"20,000",1,,1/20/09,1/20/09
EffiCity,"5,332,740",1,1/1/07,9/8/10,9/8/10
EffRx Pharmaceuticals,"7,590,940",1,1/1/98,10/1/13,10/1/13
Efield,"602,000",1,,4/26/06,4/26/06
eflow,"649,000",1,1/1/04,5/27/08,5/27/08
eFolder,"26,000,002",1,1/1/02,9/30/13,9/30/13
Efreightsolutions Holdings,"15,000,000",1,,5/17/12,5/17/12
eFuneral,"295,000",3,6/13/11,9/8/11,5/8/13
efw-suhl,,1,9/1/10,1/1/11,1/1/11
Egalet,"24,300,000",2,1/1/95,5/7/12,9/13/13
eGames,"900,000",2,,4/2/10,6/17/11
EGEN,"23,417,332",3,1/1/02,8/4/08,10/25/13
Egenera,"28,000,000",2,1/1/00,8/14/06,1/27/10
eGenerations,"300,000",1,7/1/06,1/1/07,1/1/07
EggCartel,"1,000,000",2,7/1/10,9/1/10,6/28/11
Egghead Interactive,"880,000",1,9/18/07,1/10/10,1/10/10
Eggrock Partners,"2,500,000",1,1/1/97,7/21/09,7/21/09
eGifter,"2,150,501",2,1/1/11,11/24/13,12/11/13
eGistics,"8,864,292",2,1/1/94,1/28/08,7/27/10
Eglue Business Technologies,"27,000,000",3,1/1/01,7/2/06,4/14/08
Egnyte,"61,500,000",4,1/1/06,7/27/09,12/11/13
eGood,"3,000,000",1,3/12/12,9/4/13,9/4/13
Egos Ventures,"300,000",1,2/24/12,12/10/13,12/10/13
Egoscue,"12,550",2,3/10/12,6/21/11,5/9/13
EGT,"20,500,000",1,1/1/00,2/27/06,2/27/06
Egully,"50,000",1,11/26/09,1/1/09,1/1/09
eHarmony,"113,000,000",2,8/1/00,6/1/00,11/1/04
eHealth Technologies,,1,1/1/06,1/24/13,1/24/13
eHealth Technologies»,"8,595,974",3,1/1/07,1/8/10,1/11/13
eHi Car Rental,"265,000,000",3,1/1/06,1/1/09,12/20/13
EidoSearch,,1,5/1/10,1/1/10,1/1/10
Eigenta,"19,713",1,,4/4/12,4/4/12
Eiger BioPharmaceuticals,"13,613,122",2,1/1/08,2/25/09,5/14/13
Eight Dimension Corporation,"26,000",1,,4/13/13,4/13/13
Eight19,"7,032,007",1,1/1/10,9/18/10,9/18/10
Eightfold Logic,"19,417,308",5,1/1/06,6/5/08,11/21/12
eInstruction,"49,600,000",2,1/1/80,10/1/07,3/31/08
eIQ Energy,"14,000,000",2,,8/31/09,5/14/10
eIQnetworks,"15,500,000",4,1/1/01,1/21/09,6/15/12
EiRx Therapeutics,"180,000",1,,4/6/05,4/6/05
eJamming,"1,840,000",2,,10/2/05,10/2/05
Ejoy Technology,"26,220,000",2,1/1/11,8/1/13,8/20/13
Eka Software Solutions,"16,000,000",3,1/1/04,1/1/05,10/15/13
Eka Systems,"40,000,000",2,1/1/00,7/1/08,7/1/08
Ekahau,"22,000,000",2,1/1/00,10/31/06,8/2/13
Ekinops,"1,230,000",1,1/1/03,1/23/06,1/23/06
Eko Devices,"20,000",2,2/1/13,3/19/13,9/18/13
Eko India Financial Services,"5,500,000",1,,7/11/11,7/11/11
EKOS Corporation,"44,000,000",2,1/1/95,2/18/05,3/21/06
Ekotrope,"2,605,000",2,1/1/10,3/31/11,8/8/13
Ekso Bionics,"94,600,003",4,1/1/05,12/7/10,1/30/14
Ektron,"4,500,000",1,1/1/98,6/12/13,6/12/13
El Corral,,1,,11/27/12,11/27/12
El Teatro,"40,000",1,12/1/10,6/15/11,6/15/11
El_mysluotain,"30,000",1,,12/12/12,12/12/12
ELAN Microelectronics,"5,000,000",1,,1/5/12,1/5/12
Elance,"94,828,397",5,1/1/98,2/1/00,1/24/12
Elanti Systems,"5,500,000",1,1/1/07,5/29/08,5/29/08
ELARA Pharmaceuticals,"6,910,000",1,1/1/06,11/26/09,11/26/09
elarm,"825,000",1,1/1/11,11/13/13,11/13/13
Elastagen,"2,000,000",1,1/1/03,7/22/13,7/22/13
Elastic Intelligence,"3,400,000",1,1/1/10,12/1/10,12/1/10
Elastic Path Software,"3,895,247",2,11/21/00,6/13/13,7/22/13
Elastica,"6,311,000",1,,7/1/12,7/1/12
ElasticBox,"3,400,000",1,9/2/11,6/26/13,6/26/13
ElasticDot,"125,000",1,12/15/12,2/9/13,2/9/13
Elasticsearch,"34,000,000",2,2/1/12,11/8/12,2/19/13
Elastifile,"8,000,000",1,,1/14/14,1/14/14
Elastra,"14,600,000",2,1/1/07,8/15/07,8/5/08
ElationEMR,,1,,6/25/10,6/25/10
Elcelyx Therapeutics,"46,325,008",4,1/1/10,3/17/10,2/14/13
Elco,"6,444,500",1,,12/29/11,12/29/11
Eldarion,"600,000",2,,5/1/09,4/14/11
ELDR Media,"1,250,000",1,4/1/06,8/12/08,8/12/08
Ele.me,"25,000,000",3,1/1/08,1/1/11,11/27/13
Elecar,"10,000",1,3/30/09,5/30/10,5/30/10
Elecsnet,"2,000,000",1,,10/5/06,10/5/06
